"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"118","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Composer","EDM","Exploring","Only fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"119","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"120","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"121","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"122","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Insomniac","Fairly O-C"
"123","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"124","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"125","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Jazz","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"126","Age 18-24","6+ hours","Not listening while working","Instrumentalist","Composer","EDM","Non-exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"127","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"128","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"129","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"130","Age 35-44","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"131","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"132","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"133","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","O-C"
"134","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"135","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"136","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Not Depressed","Insomniac","O-C"
"137","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"138","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"139","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Composer","Pop","Non-exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"140","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"141","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"142","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"143","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"144","Age 45-54","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"145","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"146","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"147","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"148","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"149","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Folk","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"150","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"151","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"152","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"153","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"154","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"155","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","O-C"
"156","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"157","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"158","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Fairly O-C"
"159","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"160","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"161","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"162","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"163","Age 45-54","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"164","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Metal","Exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"165","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
